"Question","Pre","Pre.N","Post","Post.N","Diff"
"Infections that are acquired during a stay in a hospital are called:",0.461538461538462,26,0.8,25,0.338461538461538
"Another scientist has given you a culture of an archaea that is an extreme thermophile and is an obligate anaerobe. It does not produce methane and will not grow under high salt conditions or in very acidic conditions. What group does this organism belong to?",0.208333333333333,24,0.545454545454545,11,0.337121212121212
"All of the following are true about prokaryotic outer membranes EXCEPT:",0.2,25,0.535714285714286,28,0.335714285714286
"AZT, a component in the drug mixture given to AIDS patients, is an inhibitor of __________.",0.517241379310345,29,0.842105263157895,19,0.32486388384755
"An enzyme complex called RNA polymerase, also known as __________-dependent __________ polymerase, carries out the process of transcription.",0.615384615384615,26,0.9375,16,0.322115384615385
"Archaeal membranes contain __________ lipid side chains.",0.285714285714286,21,0.6,15,0.314285714285714
"Which of the following is NOT an integral part of the inflammatory process?",0.4,20,0.714285714285714,21,0.314285714285714
"The nucleoids of bacteria and most archaea, as well as the nuclear DNA of eukaryotes, are kept __________ supercoiled.",0.5,14,0.80952380952381,21,0.30952380952381
"Amoeboid movement is controlled by:",0.6,20,0.904761904761905,21,0.304761904761905
"A special kind of __________ flows among membrane-embedded proteins and cofactors, generating a(n) __________.",0.363636363636364,22,0.666666666666667,18,0.303030303030303
"<i>Plasmodium falciparum</i> is a/an __________ and is transmitted to the human host by the bite of a __________.",0.461538461538462,26,0.761904761904762,21,0.3003663003663
"What occurs when an inducer is added to a medium containing an organism with a metabolic pathway controlled by a repressor?",0.5,18,0.8,20,0.3
"A useful application of dark-field optics is the study of bacterial:",0.227272727272727,22,0.523809523809524,21,0.296536796536797
"A bacterium capable of producing methane and water from carbon dioxide and hydrogen performs a type of metabolism called __________ and, given its sources of electrons, it is a __________.",0.608695652173913,23,0.904761904761905,21,0.296066252587992
"Mutations that allow viruses to replicate under one set of conditions but not under another set of conditions are known as __________ mutations.",0.52,25,0.80952380952381,21,0.28952380952381
"David Baltimore proposed that the primary distinction among classes of viruses was the __________ composition and the route used to express messenger RNA.",0.571428571428571,21,0.857142857142857,14,0.285714285714286
"The availability of oxygen and other electron acceptors is the most important determinant of the types of metabolisms in a habitat. Which of the following is NOT true about anaerobic environments?",0.2,20,0.473684210526316,19,0.273684210526316
"What do yellow fever and West Nile virus have in common?",0.538461538461538,26,0.80952380952381,21,0.271062271062271
"All archaeal phospholipids have a/an __________ link between glycerol and the lipid component.",0.5,20,0.76,25,0.26
"__________ analysis with the lactose operon showed that the area protected by the repressor overlaps the area protected by RNA polymerase.",0.181818181818182,22,0.44,25,0.258181818181818
"Type III and type I pili:",0.133333333333333,15,0.388888888888889,18,0.255555555555556
"The lagging strand is synthesized __________ , while the leading strand can be synthesized __________.",0.636363636363636,22,0.888888888888889,18,0.252525252525252
"A __________ disease is an infection that normally affects animals but that can be transmitted to humans.",0.75,24,1,18,0.25
"A __________ phage may integrate its genome into that of the host cell.",0.296296296296296,27,0.545454545454545,22,0.249158249158249
"The &#8220;housekeeping&#8221; sigma factor in <i>E. coli</i> is:",0.636363636363636,22,0.882352941176471,17,0.245989304812834
"What does it mean to say that the genetic code is degenerate?",0.44,25,0.684210526315789,19,0.244210526315789
"Penicillinase-producing <i>Neisseria gonorrhoeae</i> (PPNG) experienced a significant increase during the 1970s because of the:",0.181818181818182,22,0.421052631578947,19,0.239234449760766
"Which temperature is quickly lethal to any mesophile?",0.642857142857143,14,0.866666666666667,15,0.223809523809524
"What is lithotrophy?",0.538461538461538,26,0.761904761904762,21,0.223443223443223
"Organisms adapted to grow at overwhelmingly high pressures are called __________.",0.681818181818182,22,0.904761904761905,21,0.222943722943723
"<i>Bdellovibrio </i>species can be described as:",0.444444444444444,27,0.666666666666667,21,0.222222222222222
"The chickenpox vaccine is created with an attenuated virus and the rabies vaccine with an inactivated virus; this means:",0.666666666666667,12,0.888888888888889,18,0.222222222222222
"<i>Giardia lamblia </i>is an infectious problem in day care centers because it is a/an:",0.538461538461538,26,0.76,25,0.221538461538462
"Robert Koch&#8217;s greatest accomplishment in the field of medical bacteriology was with:",0.647058823529412,17,0.857142857142857,28,0.210084033613445
"Severe combined immunodeficiency (SCID) is most commonly caused by:",0.68,25,0.888888888888889,18,0.208888888888889
"Acetic acid results from the reduction of:",0.5,22,0.7,20,0.2
"Human pathogens are:",0.8,15,1,19,0.2
"The transfer of F factor in <i>E. coli</i> from one donor cell to a __________ cell results in two __________ cells.",0.379310344827586,29,0.571428571428571,21,0.192118226600985
"A human body contains __________ times as many microbes as it does human cells.",0.476190476190476,21,0.666666666666667,21,0.19047619047619
"Which of the following is NOT a part of beer making?",0.578947368421053,19,0.769230769230769,13,0.190283400809717
"Genes other than <i>gal</i> or <i>bio</i> can also be moved by __________ if lambda is used to infect mutant host strains lacking the normal <i>att</i> site.",0.36,25,0.55,20,0.19
"<i>Methylobacterium</i> species are methylotrophs; this means that __________.",0.44,25,0.625,16,0.185
"Organisms which live symbiotically inside a larger organism are known as:",0.818181818181818,22,1,17,0.181818181818182
"Humans are an incidental host in which clinical disease?",0.285714285714286,21,0.466666666666667,15,0.180952380952381
"In contrast to animal viruses and bacteriophages, plant viruses infect cells by mechanisms that do NOT involve specific:",0.6,20,0.777777777777778,18,0.177777777777778
"How are microbes classified today?",0.0769230769230769,26,0.25,16,0.173076923076923
"Chocolate agar is considered __________ in comparison to blood agar.",0.380952380952381,21,0.55,20,0.169047619047619
"Cyanobacteria are the only prokaryotes that use __________ to hydrolyze water with O<sub>2</sub>-release.",0.52,25,0.684210526315789,19,0.164210526315789
"The usual habitat of <i>Vibrio cholerae</i>, the causative agent of cholera is/are:",0.2,30,0.363636363636364,22,0.163636363636364
"Reduction potential is defined as:",0.695652173913043,23,0.85,20,0.154347826086957
"In the three-domain model, the bacterial ancestor of mitochondria derives from ancient:",0.421052631578947,19,0.571428571428571,21,0.150375939849624
"The <i>pol</i> open reading frame of HIV encodes:",0.5,18,0.65,20,0.15
"The conditions used in an autoclave may be reproduced at home in:",0.85,20,1,11,0.15
"A quorum-sensing gene system requires the accumulation of a secreted small molecule called a/an __________.",0.476190476190476,21,0.625,16,0.148809523809524
"__________ produce thickeners for ice cream and salad dressing and emulsifiers for commercial pies and toothpastes.",0.352941176470588,17,0.5,14,0.147058823529412
"A special sigma factor, __________, is used to transcribe genes encoding the translocasome necessary for cell competency.",0.379310344827586,29,0.526315789473684,19,0.147005444646098
"In methanogenesis from CO<sub>2</sub> and H<sub>2</sub>, __________ is hydrogenated and deoxygenated in a stepwise fashion.",0.48,25,0.625,24,0.145
"Strains of <i>E. coli</i> that cause about 75% of all urinary tract infections use __________ to latch onto proteins coating the urinary tract epithelium.",0.285714285714286,28,0.428571428571429,21,0.142857142857143
"Which of the following would be best to target a new antibiotic to?",0.529411764705882,17,0.666666666666667,27,0.137254901960784
"Magnification without resolution is known as __________ magnification.",0.538461538461538,26,0.666666666666667,18,0.128205128205128
"The causative agent of chickenpox is:",0.761904761904762,21,0.888888888888889,18,0.126984126984127
"Which of the following typically will survive autoclaving under standard laboratory operating conditions?",0.5,18,0.625,16,0.125
"A rod-shaped microbe is referred to as a:",0.833333333333333,30,0.952380952380952,21,0.119047619047619
"If a gene is always expressed, it is:",0.684210526315789,19,0.8,20,0.115789473684211
"Exotoxins:",0.545454545454545,22,0.652173913043478,23,0.106719367588933
"Which of the following could be categorized as an example of humoral immunity?",0.526315789473684,19,0.631578947368421,19,0.105263157894737
"A person exhibiting glomerular nephritis and rheumatic fever would have had to have what type of previous infection?",0.666666666666667,15,0.76,25,0.0933333333333334
"Soy sauce is produced by fermentation with <i>Aspergillus</i> and then with halotolerant __________.",0.578947368421053,19,0.666666666666667,18,0.087719298245614
"Each dividing nucleoid requires __________ DNA polymerase complexes overall.",0.357142857142857,14,0.444444444444444,27,0.0873015873015873
"An example of an antibiotic that binds to the 30S ribosomal subunit would be:",0.461538461538462,13,0.541666666666667,24,0.0801282051282051
"A 15-year-old female was said to have Koplik&#8217;s spots after a doctor&#8217;s examination. This suggests that she has __________.",0.75,24,0.826086956521739,23,0.0760869565217391
"Which of the following is NOT true regarding food webs in ecosystems?",0.0625,16,0.136363636363636,22,0.0738636363636364
"Which of the following mushrooms is NOT grown on logs or wooden blocks?",0.4375,16,0.5,16,0.0625
"The minimal inhibitory concentration is the:",0.884615384615385,26,0.941176470588235,17,0.0565610859728507
"What disease is caused without an infection?",0.521739130434783,23,0.571428571428571,14,0.0496894409937888
"<i>Deinococcus</i> chromosomal DNA is __________ by irradiation.",0.5,18,0.545454545454545,22,0.0454545454545454
"Fluorescence requires excitation and emission at different:",0.904761904761905,21,0.944444444444444,18,0.0396825396825397
"The smallest cellular genomes identified thus far are those of __________.",0.6,25,0.636363636363636,22,0.0363636363636364
"A virus that kills bacteria is called a:",0.869565217391304,23,0.894736842105263,19,0.0251716247139588
"Phage T4 genes are translated using host cell __________ and viral __________.",0.368421052631579,19,0.391304347826087,23,0.022883295194508
"The fastest growth rate for a species occurs at temperatures where a cell&#8217;s __________ work most efficiently.",0.777777777777778,18,0.8,20,0.0222222222222223
"Of the following cells, which could be considered a &#8220;professional&#8221; antigen-presenting cell?",0.24,25,0.260869565217391,23,0.0208695652173913
"Viruses release into the blood, a condition known as __________, facilitates dissemination across the __________ barrier.",0.588235294117647,17,0.6,25,0.0117647058823529
"Herpes simplex virus and varicella-zoster virus cause primary __________ infections.",0.807692307692308,26,0.80952380952381,21,0.00183150183150182
"Agarose gel electrophoresis separates DNA based on:",0.285714285714286,21,0.285714285714286,14,0
"If you are using a microscope with a 10<span style=""font-family:'Symbol'"">&#180;</span> ocular lens and a 100<span style=""font-family:'Symbol'"">&#180;</span> objective, what is the total magnification?",1,17,1,22,0
"The disease filariasis, commonly known as elephantiasis, is caused by a(n):",0.652173913043478,23,0.652173913043478,23,0
"Hydrolysis of ATP with the release of pyrophosphate is the driving force of which of the following reaction(s)?",0.470588235294118,17,0.428571428571429,14,-0.0420168067226891
"The five classes of antibodies (IgG, IgA, IgM, IgE, IgD) that can be produced during an immune response are based on:",0.52,25,0.473684210526316,19,-0.0463157894736843
"Which of the following is true about lichens in the boreal forests?",0.869565217391304,23,0.818181818181818,22,-0.0513833992094861
"In an amphibolic pathway, some enzymes:",0.3125,16,0.235294117647059,17,-0.0772058823529412
"During latent herpes virus infections:",0.2,25,0.115384615384615,26,-0.0846153846153846
"<i>Neisseria</i> species:",0.25,20,0.157894736842105,19,-0.0921052631578947
"Which of the following is true of microbes and their membranes?",0.428571428571429,14,0.333333333333333,21,-0.0952380952380952
"Bacteroids remain sequestered within a sac of plant-derived membrane known as the:",0.434782608695652,23,0.333333333333333,21,-0.101449275362319
"All of the following are true about microbes and temperature EXCEPT:",0.95,20,0.833333333333333,12,-0.116666666666667
"In the electron transport system, each cytochrome receives the electrons from a stronger __________ and transfers them to a stronger __________.",0.6875,16,0.529411764705882,17,-0.158088235294118
