"Question","Pre","Pre.N","Post","Post.N","Diff"
"The five classes of antibodies (IgG, IgA, IgM, IgE, IgD) that can be produced during an immune response are based on:",0.35,20,0.6,15,0.25
"Robert Koch&#8217;s greatest accomplishment in the field of medical bacteriology was with:",0.619047619047619,21,0.866666666666667,15,0.247619047619048
"Microbial colonization of the eye is inhibited by the presence of antimicrobial factors, like:",0.421052631578947,19,0.666666666666667,12,0.245614035087719
"The chemiosmotic theory states that the proton potential is composed of __________.",0.125,16,0.363636363636364,11,0.238636363636364
"The smallest cellular genomes identified thus far are those of __________.",0.35,20,0.588235294117647,17,0.238235294117647
"<i>Alexandrium</i> and <i>Karenia</i> are representative of flagellate, pigmented marine phototrophs responsible for the toxic red tide blooms. These organisms fit in the category of:",0.588235294117647,17,0.823529411764706,17,0.235294117647059
"A transmembrane sensor kinase protein senses an environmental condition outside __________ bacteria or in the periplasm of a/an __________ bacteria.",0.45,20,0.684210526315789,19,0.234210526315789
"Which of the following is caused by a fungus?",0.391304347826087,23,0.625,16,0.233695652173913
"Humans are an incidental host in which clinical disease?",0.266666666666667,15,0.5,12,0.233333333333333
"An organism that grows at the top of a tube of thioglycolate broth medium is probably a(n):",0.705882352941177,17,0.933333333333333,15,0.227450980392157
"Strains of <i>E. coli</i> that cause about 75% of all urinary tract infections use __________ to latch onto proteins coating the urinary tract epithelium.",0.368421052631579,19,0.590909090909091,22,0.222488038277512
"A human body contains __________ times as many microbes as it does human cells.",0.5,10,0.72,25,0.22
"The usual habitat of <i>Vibrio cholerae</i>, the causative agent of cholera is/are:",0.222222222222222,18,0.4375,16,0.215277777777778
"A person exhibiting glomerular nephritis and rheumatic fever would have had to have what type of previous infection?",0.55,20,0.764705882352941,17,0.214705882352941
"In the electron transport system, each cytochrome receives the electrons from a stronger __________ and transfers them to a stronger __________.",0.571428571428571,14,0.785714285714286,14,0.214285714285714
"If you are using a microscope with a 10<span style=""font-family:'Symbol'"">&#180;</span> ocular lens and a 100<span style=""font-family:'Symbol'"">&#180;</span> objective, what is the total magnification?",0.6875,16,0.9,20,0.2125
"In an amphibolic pathway, some enzymes:",0.125,8,0.333333333333333,15,0.208333333333333
"An example of an antibiotic that binds to the 30S ribosomal subunit would be:",0.4375,16,0.642857142857143,14,0.205357142857143
"Which of the following mushrooms is NOT grown on logs or wooden blocks?",0.272727272727273,11,0.476190476190476,21,0.203463203463203
"When the chromosome replicates, how is the newly made strand related to its template strand?",0.588235294117647,17,0.789473684210526,19,0.201238390092879
"All of the following are true about prokaryotic outer membranes EXCEPT:",0.3,20,0.5,16,0.2
"Disposable plasticware such as petri dishes can be sterilized using which of the following?",0.333333333333333,12,0.529411764705882,17,0.196078431372549
"The nucleoids of bacteria and most archaea, as well as the nuclear DNA of eukaryotes, are kept __________ supercoiled.",0.470588235294118,17,0.666666666666667,18,0.196078431372549
"If a gene is always expressed, it is:",0.666666666666667,15,0.857142857142857,14,0.19047619047619
"Acetic acid results from the reduction of:",0.411764705882353,17,0.588235294117647,17,0.176470588235294
"Fluorescence requires excitation and emission at different:",0.65,20,0.823529411764706,17,0.173529411764706
"David Baltimore proposed that the primary distinction among classes of viruses was the __________ composition and the route used to express messenger RNA.",0.681818181818182,22,0.85,20,0.168181818181818
"Of the following cells, which could be considered a &#8220;professional&#8221; antigen-presenting cell?",0.111111111111111,18,0.277777777777778,18,0.166666666666667
"AZT, a component in the drug mixture given to AIDS patients, is an inhibitor of __________.",0.642857142857143,14,0.80952380952381,21,0.166666666666667
"<i>Giardia lamblia </i>is an infectious problem in day care centers because it is a/an:",0.608695652173913,23,0.764705882352941,17,0.156010230179028
"What occurs when an inducer is added to a medium containing an organism with a metabolic pathway controlled by a repressor?",0.705882352941177,17,0.857142857142857,14,0.151260504201681
"Human pathogens are:",0.6875,16,0.833333333333333,18,0.145833333333333
"Severe combined immunodeficiency (SCID) is most commonly caused by:",0.615384615384615,13,0.75,16,0.134615384615385
"The type of antimicrobial drug that would be least toxic to humans is a drug that:",0.6,20,0.733333333333333,15,0.133333333333333
"<i>Plasmodium falciparum</i> is a/an __________ and is transmitted to the human host by the bite of a __________.",0.5625,16,0.692307692307692,13,0.129807692307692
"In the three-domain model, the bacterial ancestor of mitochondria derives from ancient:",0.5625,16,0.684210526315789,19,0.121710526315789
"Organotrophy is a term that describes microorganisms:",0.214285714285714,14,0.333333333333333,15,0.119047619047619
"Genes other than <i>gal</i> or <i>bio</i> can also be moved by __________ if lambda is used to infect mutant host strains lacking the normal <i>att</i> site.",0.65,20,0.764705882352941,17,0.114705882352941
"The availability of oxygen and other electron acceptors is the most important determinant of the types of metabolisms in a habitat. Which of the following is NOT true about anaerobic environments?",0.263157894736842,19,0.375,16,0.111842105263158
"Penicillinase-producing <i>Neisseria gonorrhoeae</i> (PPNG) experienced a significant increase during the 1970s because of the:",0.307692307692308,13,0.416666666666667,12,0.108974358974359
"A quorum-sensing gene system requires the accumulation of a secreted small molecule called a/an __________.",0.555555555555556,18,0.642857142857143,14,0.0873015873015873
"A 15-year-old female was said to have Koplik&#8217;s spots after a doctor&#8217;s examination. This suggests that she has __________.",0.736842105263158,19,0.823529411764706,17,0.086687306501548
"Which of the following is NOT a part of beer making?",0.45,20,0.533333333333333,15,0.0833333333333333
"How are microbes classified today?",0.315789473684211,19,0.391304347826087,23,0.0755148741418765
"Organisms which live symbiotically inside a larger organism are known as:",0.80952380952381,21,0.882352941176471,17,0.072829131652661
"The causative agent of chickenpox is:",0.785714285714286,14,0.857142857142857,14,0.0714285714285714
"Bacteroids remain sequestered within a sac of plant-derived membrane known as the:",0.470588235294118,17,0.538461538461538,13,0.0678733031674208
"A special kind of __________ flows among membrane-embedded proteins and cofactors, generating a(n) __________.",0.6,20,0.666666666666667,15,0.0666666666666667
"A bacterium capable of producing methane and water from carbon dioxide and hydrogen performs a type of metabolism called __________ and, given its sources of electrons, it is a __________.",0.857142857142857,14,0.916666666666667,12,0.0595238095238095
"A virus that kills bacteria is called a:",0.866666666666667,15,0.923076923076923,13,0.0564102564102564
"Organisms adapted to grow at overwhelmingly high pressures are called __________.",0.866666666666667,15,0.923076923076923,13,0.0564102564102564
"<i>Neisseria</i> species:",0.157894736842105,19,0.210526315789474,19,0.0526315789473684
"All of the following are true about microbes and temperature EXCEPT:",0.588235294117647,17,0.636363636363636,11,0.0481283422459893
"A __________ disease is an infection that normally affects animals but that can be transmitted to humans.",0.8,20,0.84,25,0.0399999999999999
"The Mueller-Hinton medium used in the Kirby-Bauer assay contains no para-aminobenzoic acid (PABA, normally found in most media) because it:",0.105263157894737,19,0.142857142857143,21,0.037593984962406
"Agarose gel electrophoresis separates DNA based on:",0.45,20,0.466666666666667,15,0.0166666666666667
"Superantigens:",0.578947368421053,19,0.583333333333333,12,0.00438596491228072
"Mutations that allow viruses to replicate under one set of conditions but not under another set of conditions are known as __________ mutations.",0.538461538461538,13,0.533333333333333,15,-0.00512820512820511
"The minimal inhibitory concentration is the:",0.95,20,0.944444444444444,18,-0.00555555555555554
"Which pair of traits can the same organism have?",0.590909090909091,22,0.583333333333333,12,-0.00757575757575757
"<i>Bdellovibrio </i>species can be described as:",0.428571428571429,14,0.411764705882353,17,-0.0168067226890756
"Which of the following is true about lichens in the boreal forests?",0.722222222222222,18,0.6875,16,-0.0347222222222222
"During latent herpes virus infections:",0.3125,16,0.272727272727273,11,-0.0397727272727273
"In contrast to animal viruses and bacteriophages, plant viruses infect cells by mechanisms that do NOT involve specific:",0.6,20,0.545454545454545,11,-0.0545454545454546
"What do yellow fever and West Nile virus have in common?",0.470588235294118,17,0.4,15,-0.0705882352941176
"The <i>pol</i> open reading frame of HIV encodes:",0.631578947368421,19,0.533333333333333,15,-0.0982456140350877
"__________ analysis with the lactose operon showed that the area protected by the repressor overlaps the area protected by RNA polymerase.",0.454545454545455,22,0.35,20,-0.104545454545455
"Chocolate agar is considered __________ in comparison to blood agar.",0.5,6,0.357142857142857,14,-0.142857142857143
"Which of the following is NOT true regarding food webs in ecosystems?",0.277777777777778,18,0.130434782608696,23,-0.147342995169082
"A rod-shaped microbe is referred to as a:",0.9375,16,0.785714285714286,14,-0.151785714285714
"The transfer of F factor in <i>E. coli</i> from one donor cell to a __________ cell results in two __________ cells.",0.625,16,0.461538461538462,13,-0.163461538461538
"The disease filariasis, commonly known as elephantiasis, is caused by a(n):",0.857142857142857,14,0.647058823529412,17,-0.210084033613445
"Hydrolysis of ATP with the release of pyrophosphate is the driving force of which of the following reaction(s)?",0.5,14,0.263157894736842,19,-0.236842105263158
"The influenza reassortment process is enhanced by a particular feature of the virus, namely, the __________ genome.",0.428571428571429,14,0.157894736842105,19,-0.270676691729323
"Type III and type I pili:",0.428571428571429,21,0.111111111111111,18,-0.317460317460317
"Which of the following is true of microbes and their membranes?",0.615384615384615,13,0.285714285714286,14,-0.32967032967033
